Variable Position	Variable Name	Code	Label
25	indus10	2980	Miscellaneous fabricated metal products manufacturing
25	indus10	2970	Ordnance
25	indus10	2890	Coating  engraving  heat treating and allied activities
25	indus10	2880	Machine shops  turned product  screw  nut  and bolt manufacturing
25	indus10	2870	Structural metals  and boiler  tank  and shipping container manufacturing
25	indus10	2790	Cutlery and hand tool manufacturing
25	indus10	2780	Metal forgings and stampings
25	indus10	2770	Foundries
25	indus10	2690	Nonferrous metal (except aluminum) production and processing
25	indus10	2680	Aluminum production and processing
25	indus10	2670	Iron and steel mills and steel product manufacturing 
25	indus10	2590	Miscellaneous nonmetallic mineral product manufacturing
25	indus10	2570	Cement  concrete  lime  and gypsum product manufacturing
25	indus10	2490	Glass and glass product manufacturing
25	indus10	2480	Structural clay product manufacturing
25	indus10	2470	Pottery  ceramics  and plumbing fixture manufacturing
25	indus10	2390	Rubber product  except tire  manufacturing
25	indus10	2380	Tire manufacturing
25	indus10	2370	Plastics product manufacturing
25	indus10	2290	Industrial and miscellaneous chemicals
25	indus10	2280	Soap  cleaning compound  and cosmetics manufacturing
25	indus10	2270	Paint  coating  and adhesive manufacturing
25	indus10	2190	Pharmaceutical and medicine manufacturing
25	indus10	2180	Agricultural chemical manufacturing
25	indus10	2170	Resin  synthetic rubber and fibers  and filaments manufacturing
25	indus10	2090	Miscellaneous petroleum and coal products
25	indus10	2070	Petroleum refining
25	indus10	1990	Printing and related support activities
25	indus10	1890	Miscellaneous paper and pulp products
25	indus10	1880	Paperboard containers and boxes
25	indus10	1870	Pulp  paper  and paperboard mills
25	indus10	1790	Leather tanning and finishing and other allied products manufacturing
25	indus10	1770	Footwear manufacturing
25	indus10	1690	Apparel accessories and other apparel manufacturing
25	indus10	1680	Cut and sew apparel manufacturing
25	indus10	1670	Knitting fabric mills  and apparel knitting mills
25	indus10	1590	Textile product mills  except carpet and rug
25	indus10	1570	Carpet and rug mills
25	indus10	1490	Textile and fabric finishing and coating mills
25	indus10	1480	Fabric mills  except knitting mills
25	indus10	1470	Fiber  yarn  and thread mills
25	indus10	1390	Tobacco manufacturing
25	indus10	1370	Beverage manufacturing
25	indus10	1290	Not specified food industries
25	indus10	1280	Seafood and other miscellaneous foods  n e c 
25	indus10	1270	Bakeries  except retail
25	indus10	1190	Retail bakeries
25	indus10	1180	Animal slaughtering and processing
25	indus10	1170	Dairy product manufacturing
25	indus10	1090	Fruit and vegetable preserving and specialty food manufacturing
25	indus10	1080	Sugar and confectionery products
25	indus10	1070	Animal food  grain  and oilseed milling
25	indus10	770	Construction
25	indus10	690	Not specified utilities
25	indus10	680	Sewage treatment facilities
25	indus10	670	Water  steam  airtoconditioning  and irrigation systems
25	indus10	590	Electric and gas  and other combinations
25	indus10	580	Natural gas distribution
25	indus10	570	Electric power generation  transmission  and distribution
25	indus10	490	Support activities for mining
25	indus10	480	Not specified type of mining
25	indus10	470	Nonmetallic mineral mining and quarrying
25	indus10	390	Metal ore mining
25	indus10	380	Coal mining
25	indus10	370	Oil and gas extraction
25	indus10	290	Support activities for agriculture and forestry
25	indus10	280	Fishing  hunting  and trapping
25	indus10	270	Logging
25	indus10	190	Forestry  except logging
25	indus10	180	Animal production
25	indus10	170	Crop production
25	indus10	0	Not applicable
26	occ10	9999	No answer
